Timestamp,Accel_X,Accel_Y,Gyro_Z,Mag_X,Mag_Y,GPS_x,GPS_Y,Calc_Accel_X,Calc_Accel_Y,Calc_Gyro_Z,Calc_Mag_X_Y
3973,15299,1741,-10052,-4161,2179,160722.00,0.00,4.580175476074219,0.5212161254882812,-76.690673828125,-1.0883908000701614
4008,13518,3818,-11786,-4161,2179,160722.00,0.00,4.046984252929688,1.1430230712890626,-89.9200439453125,-1.0883908000701614
4043,16965,2501,-8103,-4161,2179,160722.00,0.00,5.078938293457031,0.7487429809570313,-61.82098388671875,-1.0883908000701614
4078,15732,5258,284,-4359,1791,160722.00,0.00,4.709805908203125,1.5741265869140626,2.166748046875,-1.1809510558030438
4113,15944,3216,4807,-4359,1791,160722.00,0.00,4.77327392578125,0.9627978515625001,36.67449951171875,-1.1809510558030438
4148,15497,2811,8100,-4359,1791,160722.00,0.00,4.6394522094726565,0.8415499877929687,61.798095703125,-1.1809510558030438
4183,13599,-883,8869,-4316,1977,160722.00,0.00,4.071233825683594,-0.26435028076171874,67.66510009765625,-1.1412574561090096
4216,12474,-1514,7003,-4316,1977,160722.00,0.00,3.7344342041015626,-0.4532574462890625,53.42864990234375,-1.1412574561090096
4250,13432,-1420,2804,-4316,1977,160722.00,0.00,4.02123779296875,-0.425115966796875,21.392822265625,-1.1412574561090096
4283,15586,322,2227,-4215,2253,160722.00,0.00,4.666096801757813,0.0963995361328125,16.99066162109375,-1.07991591251919
4316,15318,-2149,2642,-4215,2253,160722.00,0.00,4.585863647460938,-0.6433621215820313,20.1568603515625,-1.07991591251919
4349,16167,-575,3069,-4215,2253,160722.00,0.00,4.840035095214844,-0.17214202880859375,23.41461181640625,-1.07991591251919
4382,17196,-522,5654,-4114,2400,160722.00,0.00,5.148094482421875,-0.15627502441406252,43.1365966796875,-1.0426916522773844
4415,15940,-1556,13482,-4114,2400,160722.00,0.00,4.772076416015625,-0.465831298828125,102.8594970703125,-1.0426916522773844
4448,14574,-3052,16450,-4114,2400,160722.00,0.00,4.363126831054688,-0.9136999511718751,125.5035400390625,-1.0426916522773844
4481,15933,-7081,12860,-3666,2857,160722.00,0.00,4.769980773925782,-2.1198916625976563,98.114013671875,-0.9087907669821079
4514,17177,-6471,9307,-3666,2857,160722.00,0.00,5.142406311035156,-1.9372714233398438,71.00677490234375,-0.9087907669821079
4547,16421,-6796,8557,-3666,2857,160722.00,0.00,4.9160769653320315,-2.0345690917968753,65.28472900390625,-0.9087907669821079
4580,15873,-7643,7986,-3068,3209,160722.00,0.00,4.752018127441406,-2.288141784667969,60.9283447265625,-0.762938980395635
4613,15640,-6174,7645,-3068,3209,160722.00,0.00,4.68226318359375,-1.8483563232421876,58.32672119140625,-0.762938980395635
4646,13863,-7664,9980,-3068,3209,160722.00,0.00,4.150269470214844,-2.2944287109375003,76.141357421875,-0.762938980395635
4679,11714,-9098,8118,-2437,3410,160722.00,0.00,3.506907348632813,-2.7237359619140626,61.9354248046875,-0.6204991046158286
4712,9919,-7991,3850,-2437,3410,160722.00,0.00,2.9695248413085937,-2.392325134277344,29.3731689453125,-0.6204991046158286
4745,14728,-10840,3171,-2437,3410,160722.00,0.00,4.40923095703125,-3.2452514648437503,24.19281005859375,-0.6204991046158286
4778,10136,-10922,914,-1858,3303,160722.00,0.00,3.03448974609375,-3.2698004150390627,6.9732666015625,-0.5124038343225235
4811,6314,-8332,-8489,-1858,3303,160722.00,0.00,1.8902691650390626,-2.494412841796875,-64.76593017578125,-0.5124038343225235
4844,8004,-8361,-12617,-1858,3303,160722.00,0.00,2.396217041015625,-2.5030947875976564,-96.26007080078125,-0.5124038343225235
4877,10723,-6697,-16803,-1964,3061,160722.00,0.00,3.210224304199219,-2.0049307250976565,-128.19671630859375,-0.5704618811808027
4913,10961,-3947,-20739,-1964,3061,160722.00,0.00,3.2814761352539064,-1.1816427612304687,-158.22601318359375,-0.5704618811808027
4948,11972,-2764,-22922,-1964,3061,160722.00,0.00,3.584146728515625,-0.827479248046875,-174.8809814453125,-0.5704618811808027
4983,12418,-634,-20726,-2438,2588,160722.00,0.00,3.7176690673828126,-0.1898052978515625,-158.1268310546875,-0.7555622127088935
5018,13157,2157,-21730,-2438,2588,160722.00,0.00,3.9389089965820316,0.6457571411132813,-165.7867431640625,-0.7555622127088935
5053,14641,2913,-20611,-2438,2588,160722.00,0.00,4.383185119628907,0.8720864868164063,-157.24945068359375,-0.7555622127088935
5088,14882,4892,-15359,-3163,1768,160722.00,0.00,4.455335083007813,1.4645544433593751,-117.17987060546875,-1.0610977800132106
5123,11994,3729,-11876,-3163,1768,160722.00,0.00,3.5907330322265625,1.1163784790039064,-90.606689453125,-1.0610977800132106
5158,13913,7394,-11841,-3163,1768,160722.00,0.00,4.165238342285156,2.2135968017578125,-90.33966064453125,-1.0610977800132106
5193,13411,8807,-8568,-3637,1106,160722.00,0.00,4.014950866699219,2.6366171264648437,-65.36865234375,-1.275585266544707
5226,11892,7100,-8469,-3637,1106,160722.00,0.00,3.560196533203125,2.125579833984375,-64.61334228515625,-1.275585266544707
5259,12489,8845,-7593,-3637,1106,160722.00,0.00,3.7389248657226566,2.6479934692382816,-57.92999267578125,-1.275585266544707
5292,11809,9025,-8534,-3963,628,160722.00,0.00,3.5353482055664065,2.7018814086914062,-65.1092529296875,-1.4136373179339086
5325,12617,8801,-6483,-3963,628,160722.00,0.00,3.7772451782226564,2.634820861816406,-49.46136474609375,-1.4136373179339086
5358,11623,10056,-4901,-3963,628,160722.00,0.00,3.479664001464844,3.01053955078125,-37.39166259765625,-1.4136373179339086
5391,10768,9800,-5102,-4028,377,160722.00,0.00,3.2236962890625,2.93389892578125,-38.9251708984375,-1.4774733598429126
5424,12453,11445,-5759,-4028,377,160722.00,0.00,3.7281472778320315,3.4263748168945316,-43.93768310546875,-1.4774733598429126
